parentCode,code,name,notes,isAutoPaymentMonthly,autoPaymentAmount
,100,Jedzenie,,,
100,101,markety,,,
100,102,"jedzenie na miescie, kawy, coffe bary, lodziarnie",,,
,200,Dom Niezyn,,,
200,201,Ogrzewanie (pellet),,,
200,202,Prąd,,,
200,203,Woda i kanalizacja,,,
200,204,Wywóz śmieci,,,
200,206,"Nowe meble, armatura, rtv agd",,,
200,205,Ubezpieczenie nieruchomości ,,,
200,206,Podatek od nieruchomosci,,,
200,207,"Naprawy, usterki",,,
200,209,"Fachura uslugi (geodezja, prawo budowlane, murarz, tynkarz)",,,
200,210,"Zezwolenia, papiery",,,
200,212,Przeglad pieca,,,
200,213,Przeglad komina,,,
200,214,budowa kominka,,,
200,215,Docieplenie,,,
,300,Chemia domowa,,,
300,301,chemia pralka,,,
300,302,chemia zmywarka,,,
,400,Kosmetyki,,,
400,401,"kosmetyki Paula (hebe, rosman itp)",,,
400,402,"kosmetyki Michal deo, szampon itp",,,
,500,inwestycje nadplacania,,,
500,501,nadplata pozyczki BNP,,,
500,502,nadplata pozyczki ING,,,
500,503,nadplata kredytu hipotecznego Santander,,,
500,504,nadplata debetu na koncie osobistym Santander,,,
,600,pozyczki i dlugi,,,
600,601,pozyczka BNP,,,
600,602,pozyczka ING,,,
600,603,kredyt hipoteczny SAN,,,
600,604,dług allgro,,,
600,605,dlug zieleniewo - spłata długu do spółdzielni mieszkaniowej,,,
,700,auto Chevy,,,
700,701,paliwo,,,
700,702,"naprawy, czesci eksploatacja serwis chevrolet ",,,
700,703,"nowe wyposazenie chevrolet (dywaniki, ladowarki, audio)",,,
700,704,opony,,,
700,705,ubezpieczenie roczne,,,
700,706,badanie techniczne ,,,
,800,auto Audi,,,
800,801,paliwo,,,
800,802,"naprawy, czesci eksploatacja serwis audi ",,,
800,803,"nowe wyposazenie (dywaniki, ladowarki, audio)",,,
800,804,opony,,,
800,805,ubezpieczenie roczne,,,
800,806,badanie techniczne ,,,
,900,polisy osobiste,,,
900,901,Polisa Michal,,,
900,902,Polisa Paula,,,
900,903,Polisa Anastazja,,,
,1600,wazne bo poduszka finansowa,,,
1600,1601,poduszka mini (15k),,,
1600,1602,poduszka styk (40k),,,
1600,1603,poduszka relax (100k),,,
,1700,urlop MK,,,
1700,1701,odlozenie na urlop bo brak w pracy,,,
,1800,Koszty prowadzenie dzialalnosci,,,
1800,1801,uslugi ksiegowe iFirma,,,
1800,1802,PIT 28 (miesiecznie),,,
1800,1803,ZUS (miesiecznie) skladka zdrowotna,,,
1800,1804,"inne oplaty, np rozliczenie pit roczne. inne obciazenia sporadyczne",,,
1800,1805,podatek roczny od progu 300tys,,,
,1900,TeleKomunikacja,,,
1900,1901,abo plus Michal,,,
1900,1902,abo plus Paula,,,
1900,1903,TV,,,
1900,1904,Internet Niezyn tmobile,,,
